smiles	molid
N#Cc1ccc([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CC(F)(F)CN32)cc1	mol311
N#CC1=CCC([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3N2CCC3(F)F)C=C1	mol312
C=CC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21	mol313
CC(C)[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21	mol314
CCC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21	mol315
FC(F)(Cc1c[nH]c2ccc(-n3cnnc3)cc12)CN1CCC(Cc2ccccc2)CC1	mol316
CO[C@@H]1CCN2[C@H]1[C@@H]1C(=O)N(Cc3ccc(F)cc3)C(=O)[C@@H]1[C@@H]2c1ccc(C(=N)N)cc1	mol317
CO[C@H]1CCN2[C@H]1[C@@H]1C(=O)N(Cc3ccc(F)cc3)C(=O)[C@@H]1[C@@H]2c1ccc(C(=N)N)cc1	mol318
CO[C@@H]1C[C@@H]2[C@@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@@H]3[C@H](c3ccc(C(=N)N)cc3)N2C1	mol319
CO[C@H]1C[C@@H]2[C@@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@@H]3[C@H](c3ccc(C(=N)N)cc3)N2C1	mol320
CC(C)[C@@H]1C2[C@H](C(=O)N1CC1=CCC(Cl)C=C1)[C@H](C1C=CC(C#N)=CC1)N1CCC[C@@H]21	mol321
